"","ID","natural_growth_1000","density","dependency_ratio","migration_intern","migration","p_employment","primary_sector","secondary_sector","tertiary_sector","p_social_assistance","p_new_buildings","p_new_housings","p_cinema","p_museum","p_culture_institution","size_households","p_new_entreprise","p_weddings","p_strangers","p_cultural_place","p_individual_houses","Population","p_infrastructure","p_forested","p_agriculture","p_improductible","surface_polygone","lat","long","zab_2022","net_income_h"
"645",1772.97227999998,2760089.96273373,14062.6635102249,39673.4003609955,-162358.233097054,636943.837533705,8931472.85312267,9147555.69712291,2416048.76385804,2625381.50874105,4162865.81484129,4162860.90245024,2081430.45138716,Inf,Inf,914979774.508789,1136056.31359464,686234830.881592,552017.992535348,337492.539776892,914979774.508789,90869.9911680097,868.06564877921,34650402.88919,7147360.33192863,5107665.52022258,139719366.488669,1650.39641866665,4829857.58585825,4733956.59076167,42970.7842854383,75.6276716537477
"646",1769.63794982708,1290030.93290591,3621.08077621872,41525.3845292402,-172681.305979992,1218362.54775428,2620356.06307769,26189063.9079433,670272.064248935,324238.112225432,1721983.84423706,5510336.69558337,1160070.88324291,89425020.2346227,21819704937.2479,253717499.270325,1204264.44362617,606102914.923554,487345.019097267,188425.776660387,253717499.270325,87017.6746429548,326.812344424068,12537225.0095266,7269742.26596629,6801804.83275467,95444680.7176865,2410.09356163273,4909790.42875038,4660435.37882634,14408.8041131445,65.0260494886151
"647",1768.03669089171,-4160782.62575848,5122.59363389967,38353.3637569606,152223.754608442,520097.828240074,7593164.41103859,121100948.537427,18239895.9525507,5617610.54051941,3248643.71288207,1763550.9292883,184251.589620596,182896221.031104,12619839251.1461,450708544.683791,1304023.51852041,467401453.746153,780146.74236771,136726.319080663,450708544.683791,81760.6467243981,564.784303627351,17173404.3315217,5310197.39198369,8264334.50766063,142438235.926151,2943.47894514497,4926032.91806281,4535897.04608932,23259.5870643534,49.793247741779
"648",1768.95259260058,-2807868.17946925,117152.084614466,37878.6324068763,187191.211964617,1871912.11971172,7313268.79960182,22916277.9876726,24669435.866511,10213816.2071754,2231329.5606604,2789157.96781925,1394578.98398239,Inf,Inf,1413289195.52305,1096011.70997398,807593826.013172,1403934.08973463,282657.83910502,1413289195.52305,72724.2451236651,1263.77653305886,174490604.901258,7806447.98234991,6833333.12078836,10666235.8570722,288.337364338671,4848124.1422376,5100141.78545727,64970.5242445183,96.0009213329994
"649",1671.002150065,2429181.18132925,21261.0888475532,43727.4537734521,836275.488657999,468007.383556548,7327621.33696274,19745352.7109721,2405309.91907208,1563715.34535326,1858328.50371221,2029290.41032931,469743.150526554,188578490.289482,51293349358.7392,551541390.954185,1205485.76542015,610635111.413562,671221.115886518,103811.676500257,551541390.954185,39165.8219758938,144.633257466331,43145347.540633,6598365.60937828,7567356.36320307,16517690.8076351,185.287993510609,3878268.23759428,4195393.41029773,4287.58855367243,82.2055651268035
"650",1670.64879944253,-353350.494225467,123603.150565231,37088.8818647372,781654.123589669,358258.139978598,7139682.49284809,2967166.49095263,689100.127117965,614494.048665392,1307505.40640347,2341618.26338289,858593.363267449,Inf,12915685629.5622,615032649.026771,1300210.8279162,861045708.63748,678804.896801554,153849.73948288,615032649.026771,35435.3297393268,287.429134165692,157282935.215944,9895767.81824832,9640130.54182463,6416372.06964617,63.3636767641969,3861952.22535424,4858306.50388009,5399.01363587699,85.1883080241722
"651",1666.4125088291,11354268.2693916,22484.9987381606,41033.1974827353,-442374.088449035,324407.664862977,4674555.0381735,62964701.3879086,3969799.54470739,1606839.59938722,1274335.65798038,3780525.62404676,872428.990192624,99419472.3133401,17050439501.7378,370661728.298649,1249012.72606186,775019977.35172,630792.681676758,98047.3806886224,370661728.298649,40021.1687802059,216.890119978395,63357168.3545598,7910757.55268774,10551624.2207257,7671820.38579023,262.330974670502,3941492.43603994,4433964.66525263,7535.5644622031,79.4167267713218
"652",1577.44483221411,1322914.69121222,2701.05956578485,45877.1102984026,-601324.859628443,516763.551248803,2296671.61751645,1243730.62333215,66374.0804480967,14188.6621247743,1367559.43222746,3669620.16640937,943616.614245363,268171279.841263,Inf,280670788.647424,1186935.78216504,188713122.851259,674956.475098089,87872.5207226912,280670788.647424,80616.9308453698,108.694549930981,11759851.2241562,10702785.9455804,5258545.46064398,333391782.204829,1079.77209641698,4610000.12456127,3863384.31866178,6460.01940388147,47.1775855691351
"653",1572.57022025752,468183.093104762,2784.56767684493,44527.6969308385,1621920.00114434,2522986.66842976,2600967.11880915,18058954.6762295,1708020.15535008,342660.050353784,1548433.93801572,7535726.61681922,1739013.83461293,Inf,45613160362.5561,292392053.606129,1145387.71422356,278129026.600952,597549.474094374,102570.632702098,292392053.606129,66672.0453705679,157.054014486463,9927741.07715321,22490332.8667262,4532435.75442143,118636505.871981,1509.59645509211,4761680.73023323,3845125.92475421,9653.09811691963,50.4805175823393
"654",1570.39451465705,1235282.9047376,5615.34785746651,39778.1108763582,-419113.842676755,2347037.51903397,3080123.49073764,1973713.54867967,445359.177095913,99106.2389646454,2349184.27875316,2936471.28054549,489411.880099872,Inf,Inf,334985430.499795,1077557.1206103,272662559.709136,690305.152642794,153061.228035385,334985430.499795,46217.1619372018,305.016179112791,17155181.1896398,15680054.1446708,4567288.49854046,30965641.5184064,1452.67890193425,4812101.07750435,3866354.78871157,14615.7058610829,43.4558309015216
"655",1577.63513657081,-872830.245333236,16289.6179300543,41376.8167254557,-421366.325334701,321569.037754899,12556417.5289441,10372319.9688984,14144072.6848615,1766754.28852777,1102200.99577562,6117204.51553892,1529301.12888473,Inf,12204837838.1336,420856477.177022,1144594.17775213,452031031.041986,610981.171737232,132950.303247516,420856477.177022,61822.9290382436,592.134421303229,32436344.4747523,9397060.40691681,4360546.30910585,199878014.601176,977.204751987153,4502535.36083592,3942867.55557422,36210.8064751705,66.7524498330343
"656",1575.76973195873,2004716.57635005,9511.35313678996,42228.186463868,-1002358.28821242,1202829.94582798,8358583.00041222,12552555.8524926,2219437.41160014,1492604.10721647,2003375.93058553,Inf,Inf,Inf,6018179760.2968,429869982.878343,1086466.0617218,334343320.016489,751768.716159315,111241.770060873,429869982.878343,50875.5697821876,1199.41401472752,16909072.2431808,15003824.6664844,4136976.89833162,236727011.404532,3388.00427867546,4536010.45152667,3855845.92447785,51587.6995581728,51.7791040422037
"657",1577.58232514547,999442.76088455,12668.1788810423,40523.5498158162,223559.564934811,395128.53337262,11621265.5350661,7132091.93375016,4646313.96335515,1206783.74513539,1954052.39646427,3360964.68178828,933601.300496745,Inf,Inf,452006064.758625,1150258.0062414,429405761.520693,943918.163053736,93501.5267329798,452006064.758625,67201.6655326421,421.710348902879,36254850.9501404,5858573.7404937,6737359.80156776,40223043.5914493,895.923917010044,4439985.04653363,4065442.90864247,22138.3190482699,35.2179446989329
"658",1568.16853393926,407066.627316219,3547.82326037064,53095.6411019888,272622.603615487,594317.275889994,2315281.62180927,3332040.11442873,108661.741473959,55748.4189029261,1616414.77457463,3268747.99178884,498622.574996964,Inf,Inf,461738394.823286,1136829.56816752,285838053.938225,512342.479212374,98629.627550049,461738394.823286,60921.7253002209,238.749882932066,8499614.18702436,18246878.1629697,5179452.39521797,137166187.56991,1801.38875332054,4753533.61179311,4012518.86727948,11468.0133983134,47.5162820135421
"659",1568.76595610556,592013.325515336,1324.22429449526,42983.4500856334,-544652.25947796,383557.929208074,3409239.43560607,84271400.2717136,2713283.72086957,571749.556186962,1596480.02682891,5428034.37446297,430796.378903469,Inf,Inf,337346346.622008,1143165.53362103,329217518.992562,825230.696169578,104773.980354092,337346346.622008,65504.8783973423,262.742915574456,6587531.39281104,17768999.1516614,6166410.66450349,337610983.881566,5316.3735179133,4694058.5485704,3850461.06114531,13619.2551236571,54.4752780769179
"660",1571.97038021913,-1843350.50987757,7668.43489707359,39389.1616927463,413164.769442119,392845.190620365,9299095.09703556,189757526.192526,40337677.723561,11016176.9089692,2146296.11149286,2165805.34216892,433161.068433785,Inf,Inf,430415258.777075,1191451.04005509,618032166.449133,726168.382660922,102961.360493331,430415258.777075,66586.1231757976,299.431272825958,31273271.7711532,4996455.9111501,7552271.99742447,120703855.958837,1049.00327207907,4540014.454854,4091320.15722539,16398.0795934474,50.7957214073924
"661",1568.83598521096,1262717.84414511,9515.89376841089,40065.5314322588,140301.982679855,420905.948041765,11540484.7101296,5511748.68040572,2359114.22118533,874880.742921543,2212343.23872535,1106170.56483305,311110.471355286,Inf,Inf,394151939.330579,1175472.94112679,243998819.585597,594220.161942412,72783.738796752,394151939.330579,57607.6573769224,702.279982908573,27127398.6532318,6018330.16478984,6514464.90955746,66092207.6278739,1979.85943521088,4621456.9799582,4129578.94337292,32325.6962852241,27.7174213445571
"662",1568.41410968813,907572.924472024,1875.55739416314,45494.4320218001,-321358.506328235,177611.045433432,1972089.56288823,880541.990237565,16386.9402079686,3145.40715961288,1937851.79315313,5135320.88709488,720746.791166371,159334238.119419,13835523010.0362,189095986.469743,1258959.01988854,116591486.039631,503592.293456518,76545.0788937153,189095986.469743,80028.3439255733,86.7510358077322,9685891.89166001,7049634.5602726,8360013.31859416,107441652.650081,1241.23799337483,4602972.68725871,4090432.58037089,5581.20823109768,28.5267929885718
"663",1271.70382813741,427299.268676724,6383.95321724982,41190.934326379,37702.8766477793,-1281897.80603017,28866571.0693035,168536364.935395,93631313.8529973,24784759.5493228,Inf,617966.671423603,308983.33571554,Inf,Inf,331965567.296991,1018480.39767,Inf,Inf,414956.95912435,331965567.296991,30193.2881721524,4910.73324403832,11673514.4543997,9613482.49185855,5188228.64639985,326858404.723191,19949.8538039057,12958632.8869438,5045080.96976955,124991.74189427,61.6917910981116
"664",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"665",1271.93571123473,-2311028.96327258,13682.5574591713,41624.3946841759,66029.3989504746,462205.792654515,18747509.6632787,2046290.17223443,1427644.30621007,1287874.93357412,2658679.85541019,753290.569662652,136961.921755012,Inf,Inf,674910347.878035,1062646.60930179,429488403.195113,462205.792654515,140606.322474944,674910347.878035,42060.6298606202,1384.87423675855,22168143.5325397,12893716.1362731,3743953.12994003,631792090.677381,2588.92987377838,12193673.3637816,5164362.95611995,41856.696372002,79.86837612229
"666",1269.8062194803,687341.027388536,9718.25026642406,38997.0544085273,-549872.821904923,274936.410952461,18070089.4480396,1410386332.37515,1339867015.75639,125809109.460694,1708749.80039935,1367002.26676607,455667.422247245,Inf,Inf,Inf,1050717.26577518,460787280.92501,916454.70316831,157086.573042581,Inf,37133.0409536605,2370.30494302989,18413526.8205901,24989786.3993722,3475400.75752859,174928504.795606,6243.73009383482,11856668.4256892,5235247.94289603,59134.4268531365,79.9052050377145
"667",1266.46821481611,701338.752277116,5992.36265970468,39241.8694327924,-561071.001818619,935118.336378025,12676533.0815015,214253493.7733,42850698.7546601,17094693.652125,2809187.04925313,1404598.10361515,1404598.10361515,Inf,Inf,Inf,1031823.66425444,311279312.334649,400765.001302777,181916.481234868,Inf,29611.3923267785,2340.76666394714,9640654.04370135,13948180.3185466,4616651.23219501,327782237.485846,10003.1200404616,11720553.4533276,4677910.47675596,48298.7312402522,73.1034177742336
